pl_orbper	st_mass	planet_mass	env_mass
3.5951	1.05	-6.186693270962471	-0.24746773083849885
15.624	1.05	-19.521998992446772	-0.7808799596978709
35.747	1.05	-8.913243514343247	-0.3565297405737299
2.30538	0.3	-8.609481242238818	-0.34437924968955275
8.0518	0.3	-4.040171367705105	-0.1616068547082042
5.7459996	0.29	-3.9050196752615234	-0.15620078701046095
10.3465	0.12	-9.188979903855097	-0.3675591961542039
21.202	0.12	-15.158711311443948	-0.6063484524577579
6.689	0.12	-21.905560866519284	-0.8762224346607714
13.031	0.12	-3.9764489687087416	-0.15905795874834966
1.628931	0.18	-12.118193224858928	-0.4847277289943571
1.6289304	0.18	-5.577574445606593	-0.22310297782426372
41.38	0.34	-10.451999745507036	-0.41807998982028144
41.397	0.34	-5.084387288009056	-0.20337549152036224
535.9	0.37	-20.428709864186263	-0.8171483945674506
389.7	0.16	-9.771579025031647	-0.3908631610012659
1.58040453	0.18	-1.8709775947542027	-0.0748391037901681
1.58040454	0.16	-1.0287594803167335	-0.04115037921266934
1.58040433	0.18	-10.92373942742746	-0.4369495770970984
1.58040835	0.18	-0.3444692861068903	-0.013778771444275613
1.58040494	0.18	-5.580544998908824	-0.22322179995635297
1.58040482	0.16	-10.283783759334476	-0.41135135037337905
1.58040482	0.16	-4.634437642884288	-0.18537750571537154
1.5804049	0.16	-6.606534352507251	-0.26426137410029005
0.5182418	0.38	-2.771104744656019	-0.11084418978624076
0.5182331	0.38	-19.22341421093015	-0.768936568437206
0.5182416	0.38	-14.739085332649822	-0.5895634133059929
0.5182464	0.38	-7.576934374518694	-0.30307737498074777
0.5182349	0.38	-10.684136651546169	-0.4273654660618468
3.6511	0.18	-5.129121995434864	-0.20516487981739456
11.4433	0.38	-11.031743934969064	-0.44126975739876256
7600.0	0.38	-6.4770908180892475	-0.2590836327235699
2333.0	0.39	-6.69115988804789	-0.2676463955219156
17.133	0.43	-11.87645443638682	-0.47505817745547285
17.38	0.43	-5.067247957109499	-0.20268991828438
24.329	0.43	-4.059029076867683	-0.1623611630747073
2.38129	0.96	-2.249337316817443	-0.08997349267269772
25533.11353	0.96	-13.450808420576982	-0.5380323368230793
69.971	0.62	-5.461201654423709	-0.21844806617694837
121.995	0.58	-3.7379340261903446	-0.1495173610476138
121.93268	0.51	-27.2076747738873	-1.088306990955492
471.0	0.58	-11.63418664841922	-0.4653674659367688
526.115	0.58	-14.627411473671879	-0.5850964589468751
579.47495	0.51	-4.795600529900031	-0.19182402119600123
18.6498	0.29	-6.374229469446953	-0.2549691787778781
11.949	0.47	-18.767062758421233	-0.7506825103368493
2.8531054	0.52	-23.82198070224327	-0.9528792280897308
5.974	0.68	-10.442537498444382	-0.4177014999377753
257.8	0.68	-1.848448682642117	-0.07393794730568468
692.0	0.42	-9.212049226448187	-0.36848196905792746
7500.0	0.45	-2.090141539993444	-0.08360566159973777
6739.323	0.42	-6.004889629836271	-0.24019558519345083
3771.0	0.65	-3.6562521652076723	-0.1462500866083069
241.8	0.65	-17.59778340105998	-0.7039113360423993
30.6	0.42	-4.847814255693444	-0.19391257022773775
122.6196	0.42	-14.120427206274995	-0.5648170882509999
48.1345	0.42	-9.046817380673716	-0.36187269522694865
13.2543	0.42	-2.7855994486237914	-0.11142397794495165
5.3636	0.16	-7.882338655145593	-0.3152935462058237
40.54	0.16	-9.329602506967184	-0.37318410027868737
14.207	0.47	-2.655205471788962	-0.10620821887155849
24.45	0.64	-6.649219181387996	-0.2659687672555198
24.422	0.64	-2.372208816601629	-0.09488835266406516
3.336649	0.56	-0.7556552732032651	-0.030226210928130604
3.336649	0.51	-0.155250425427216	-0.00621001701708864
3.3366487	0.51	-13.768239548875387	-0.5507295819550155
3.336649	0.5	-7.330525051529337	-0.29322100206117346
3.3366413	0.5	-0.6062950788057284	-0.024251803152229138
203.59	0.12	-2.4291677103651335	-0.09716670841460534
203.69	0.12	-14.018204441890559	-0.5607281776756223
3.93072	0.34	-6.5220969651701015	-0.26088387860680406
55.661	0.34	-2.8677033383410855	-0.11470813353364342
2.64561	0.45	-11.581699614568304	-0.46326798458273216
0.3219225	0.46	-0.6123303333780723	-0.02449321333512289
3.0232	0.27	-11.651022066666714	-0.4660408826666686
2.6162745	0.31	-0.28204449186981106	-0.011281779674792443
7.02679	0.43	-10.358087185697288	-0.41432348742789155
6.905	0.63	-10.160035995889524	-0.40640143983558097
6.9442	0.18	-2.6255411807221902	-0.10502164722888761
2.64977	0.5	-4.116644638173607	-0.1646657855269443
13.74	0.5	-7.868914659483507	-0.3147565863793403
12.9382	0.39	-8.776575827401631	-0.35106303309606524
12.9394	0.39	-0.5649100334866377	-0.02259640133946551
12.9532	0.39	-12.778773370642188	-0.5111509348256875
51.625	0.69	-11.746440109512934	-0.4698576043805174
749.83	0.65	-7.755150223465018	-0.31020600893860073
744.7	0.69	-7.921732299586896	-0.31686929198347585
20.129	0.35	-7.985001436823195	-0.3194000574729278
13.352	0.41	-14.770808053922089	-0.5908323221568835
2.644	0.42	-3.0916418503108165	-0.12366567401243267
2.64385	0.45	-7.057039736578233	-0.2822815894631293
2.643943	0.42	-3.409248143904195	-0.1363699257561678
2.64389803	0.45	-14.729736783718755	-0.5891894713487502
2.64389846	0.42	-3.9101859421681278	-0.1564074376867251
2.6441	0.41	-5.085445133631964	-0.20341780534527856
2.6438979	0.45	-7.120186088187662	-0.2848074435275065
2.643859	0.42	-7.764553757348435	-0.3105821502939374
3448.0	0.49	-19.970249611014214	-0.7988099844405686
3448.0	0.49	-13.64280347758032	-0.5457121391032128
9.567	0.45	-10.549927578279249	-0.42199710313116995
1.467119	0.32	-2.159260159359916	-0.08637040637439665
140.43	0.51	-4.915686901562523	-0.19662747606250094
8.7076	0.52	-4.713704556177115	-0.1885481822470846
5.36879	0.32	-3.769629550010079	-0.15078518200040317
5.36841	0.31	-7.202848308138291	-0.2881139323255317
12.919	0.31	-5.985716535818549	-0.23942866143274194
12.914	0.31	-15.210872993102853	-0.6084349197241141
3.153	0.31	-5.120907049737317	-0.2048362819894927
604.8	0.53	-5.2299024781565215	-0.20919609912626086
598.3	0.54	-17.014321211030442	-0.6805728484412177
600.1	0.51	-9.972138321476839	-0.3988855328590736
7.2004	0.33	-16.02891171884634	-0.6411564687538537
28.14	0.33	-6.904523415860606	-0.2761809366344242
256.2	0.33	-11.351105757017352	-0.4540442302806941
1051.44521	0.63	-4.668961839931429	-0.18675847359725717
1050.3	0.71	-10.74264015971795	-0.429705606388718
13921.42302	0.63	-13.753480082105177	-0.5501392032842071
3.60076	0.63	-9.255800756351718	-0.3702320302540687
35.37	0.71	-8.102301663634425	-0.324092066545377
35.47358	0.63	-8.940726199769465	-0.3576290479907786
17281.66514	0.46	-4.001661512870851	-0.16006646051483406
38.14	0.41	-4.306842095370697	-0.17227368381482788
38.14	0.45	-4.20562456737041	-0.1682249826948164
38.152	0.42	-8.962191449304491	-0.35848765797217963
727.562	0.4	-5.176585112167373	-0.20706340448669494
19.466	0.57	-19.496027083005647	-0.7798410833202258
5.101284	0.53	-3.6501983409206575	-0.1460079336368263
0.9263237	0.41	-1.0001924359724936	-0.040007697438899745
6.64064	0.41	-13.827372776957002	-0.5530949110782801
3610.0	0.45	-3.913011589662394	-0.15652046358649577
3507.0	0.44	-5.078586867974332	-0.2031434747189733
3853.0	0.45	-3.255954490364609	-0.13023817961458437
3657.0	0.45	-7.969116091631134	-0.3187646436652454
1915.0	0.49	-0.9169404833252648	-0.03667761933301059
1890.0	0.49	-3.661030350244391	-0.14644121400977564
1845.0	0.49	-5.126841993931777	-0.20507367975727106
1924.0	0.46	-0.953824008473191	-0.03815296033892764
5750.0	0.5	-5.602043903271115	-0.2240817561308446
15.76491	0.93	-20.124750560505408	-0.8049900224202163
15.76491	0.77	-18.63355899596541	-0.7453423598386164
15.764	0.8	-16.95149513374635	-0.678059805349854
61.087	0.37	-23.908749711779855	-0.9563499884711942
61.03474	0.37	-6.767277602488945	-0.2706911040995578
60.85	0.34	-13.249946530740992	-0.5299978612296397
30.0881	0.32	-15.130779843976343	-0.6052311937590538
30.22902	0.37	-7.124886211346874	-0.284995448453875
30.259	0.33	-1.7073680509715072	-0.06829472203886029
30.455	0.34	-3.844345368423193	-0.15377381473692772
1.93774	0.34	-4.859053919508844	-0.19436215678035373
1.93778	0.34	-13.901201543268076	-0.5560480617307231
1.937916	0.37	-10.834205023107693	-0.4333682009243077
1.93785	0.33	-3.876602937991411	-0.15506411751965643
1.937848	0.37	-7.1682018883326	-0.28672807553330404
1.938	0.34	-6.7854582707836	-0.27141833083134403
1.93778	0.32	-3.7168984873017967	-0.14867593949207186
124.26	0.32	-3.212115592838901	-0.12848462371355604
21.789	0.49	-5.237066938308942	-0.2094826775323577
284.39	0.44	-11.341279183861738	-0.45365116735446953
771.36	0.15	-8.644652367276741	-0.34578609469106963
767.887	0.15	-3.617705762699257	-0.1447082305079703
13.4586	0.62	-13.94219453092954	-0.5576877812371815
