stellar_mass	planet_mass	env_mass
0.94	-1.336603476947745	-0.053464139077909804
0.96	-2.776046527579185	-0.1110418611031674
1.08	-22.2984500776229	-0.891938003104916
1.1	-2.7797402029359928	-0.11118960811743972
0.33	-0.7633674559275785	-0.03053469823710314
1.01	-15.563537078454535	-0.6225414831381815
1.04	-16.728860149070407	-0.6691544059628163
1.09	-14.640862538891595	-0.5856345015556638
0.97	-14.541878321959427	-0.5816751328783771
0.99	-5.560633311363676	-0.22242533245454707
1.02	-4.2404546601557005	-0.16961818640622803
1.17	-14.640042287387418	-0.5856016914954968
1.17	-3.3639710228878816	-0.13455884091551526
1.02	-12.719591307729967	-0.5087836523091986
0.55	-22.105993567463074	-0.884239742698523
0.59	-1.9509059974358995	-0.07803623989743598
1.15	-4.871618349312771	-0.19486473397251086
1.08	-14.249096544425912	-0.5699638617770365
0.73	-13.052693640918335	-0.5221077456367335
1.15	-15.539339097199043	-0.6215735638879617
0.8	-5.808436088335221	-0.23233744353340885
1.36	-8.640502604572756	-0.3456201041829102
1.0	-3.5977320590754873	-0.1439092823630195
0.79	-6.940885716289426	-0.27763542865157703
0.8	-0.12351292591491303	-0.004940517036596521
0.96	-2.222744968964611	-0.08890979875858443
0.66	-3.083316235643803	-0.12333264942575213
0.76	-7.173535326260676	-0.28694141305042703
1.3	-3.315310792864592	-0.13261243171458367
0.54	-10.582247401851603	-0.42328989607406414
1.21	-0.6172096200088992	-0.02468838480035597
0.83	-20.195568047907297	-0.8078227219162919
1.05	-9.445474954310605	-0.3778189981724242
0.97	-11.760560815381236	-0.47042243261524946
0.8	-28.596150785254707	-1.1438460314101884
1.12	-5.03915895559637	-0.2015663582238548
1.38	-3.295822306789333	-0.13183289227157333
0.78	-3.4330760123691157	-0.13732304049476463
0.92	-3.849916182527597	-0.15399664730110388
0.67	-15.424845469560706	-0.6169938187824283
0.77	-10.786198063697618	-0.43144792254790476
0.96	-5.631084604489461	-0.22524338417957843
1.22	-9.009249251230724	-0.36036997004922894
0.98	-7.797661905763741	-0.3119064762305496
1.28	-20.72181520608291	-0.8288726082433163
1.1	-12.654148726564095	-0.5061659490625638
1.05	-4.227550225405798	-0.16910200901623193
0.43	-21.949270895271034	-0.8779708358108413
0.96	-20.010446488191953	-0.8004178595276781
1.05	-6.851898047429149	-0.27407592189716595
0.98	-13.466617134114061	-0.5386646853645625
0.86	-8.92535367907298	-0.35701414716291924
1.04	-12.798995028044375	-0.511959801121775
0.82	-15.087561873207418	-0.6035024749282968
0.88	-7.028946403210482	-0.2811578561284193
0.89	-11.755259609505936	-0.47021038438023743
0.8	-2.797796560794158	-0.11191186243176633
1.02	-11.70601131040309	-0.4682404524161236
1.15	-25.400578125368483	-1.0160231250147393
